obsnme,obsval,weight,obgnme,i,id,idx0,idx1,idx2,j,k,kper,kstp,oname,otype,usecol,zone,standard_deviation
oname:head_kper:0_kstp:0_otype:arr_i:10_j:83_zone:1,3.212214335904762,6.226234587290309,head,10,,,,,83,,0,0,head,arr,,1,0.1606107167952381
oname:head_kper:0_kstp:0_otype:arr_i:10_j:84_zone:1,3.1922217261904757,6.265228958223882,head,10,,,,,84,,0,0,head,arr,,1,0.1596110863095238
oname:head_kper:0_kstp:0_otype:arr_i:24_j:88_zone:1,3.0514750744047623,6.55420723169476,head,24,,,,,88,,0,0,head,arr,,1,0.1525737537202381
oname:head_kper:0_kstp:0_otype:arr_i:32_j:62_zone:1,2.937749503767858,6.807932389861245,head,32,,,,,62,,0,0,head,arr,,1,0.1468874751883929
oname:head_kper:0_kstp:0_otype:arr_i:3_j:67_zone:1,3.162771205357143,6.323568383993043,head,3,,,,,67,,0,0,head,arr,,1,0.1581385602678571
oname:head_kper:0_kstp:0_otype:arr_i:54_j:62_zone:1,3.0411949118309742,3.967313375061697,head,54,,,,,62,,0,0,head,arr,,1,0.2520597455915487
oname:head_kper:0_kstp:0_otype:arr_i:59_j:38_zone:1,2.8119997646584363,4.156276179996786,head,59,,,,,38,,0,0,head,arr,,1,0.2405999882329218
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:0_j:55_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,0,,,,,55,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:0_j:56_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,0,,,,,56,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:0_j:60_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,0,,,,,60,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:39_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,39,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:40_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,40,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:41_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,41,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:42_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,42,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:43_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,43,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:44_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,44,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:45_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,45,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:46_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,46,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:47_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,47,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:48_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,48,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:49_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,49,0,0,0,bound-base,lst,absq-bya,,0.0
oname:bound-base_otype:lst_usecol:absq-bya_k:0_i:10_j:50_kstp:0_kper:0,0.0004,24999.999999999996,l_cbcbaseflux,10,,,,,50,0,0,0,bound-base,lst,absq-bya,,0.0
