parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,idx1,idx2,inst,j,pname,pstyle,ptype,usecol,zone
pname:p_inst:0_ptype:pp_pstyle:m_i:1_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,1,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:1_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,1,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:1_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,1,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:1_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,1,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,70,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:4_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,4,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:46_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,46,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:49_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,49,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,70,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:76_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,76,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:7_j:79_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,7,,,,0,79,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:40_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,40,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:43_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,43,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:46_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,46,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:49_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,49,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,70,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:76_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,76,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:79_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,79,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:10_j:82_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,10,,,,0,82,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:37_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,37,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:40_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,40,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:43_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,43,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:46_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,46,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:49_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,49,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:52_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,52,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:55_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,55,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:58_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,58,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:13_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,13,,,,0,70,p,m,pp,,1
